1,2,3,4
output_1,output_2,output_3,benchmark.csv
33.37,77.96,229.7,The file was not found
1.3261553,0.17769951,0.10018658,The file was not found
1.0,0.428040020523,0.14527644754,
1.0,7.4629091549,13.2368556747,
