1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
output_1,output_2,output_3,output_5,output_4,output_6,output_7,output_8,output_9,output_10,output_11,output_12,output_13,output_14,output_15,output_17,output_16,output_18,output_19,output_21,output_20,output_22,output_23,output_25,output_24,output_26,output_27,output_28,output_29,output_31,output_30,output_32
35.35,22.19,16.19,13.59,11.95,11.22,10.45,10.44,9.88,10.55,9.72,11.06,8.95,9.82,11.27,9.75,11.83,12.33,11.27,12.72,13.49,11.14,11.76,12.05,11.73,13.25,13.07,11.89,11.92,13.43,11.96,13.2
1.4047818,0.88181958,0.64354785,0.53995839,0.47497969,0.44584283,0.41513007,0.41494774,0.39256982,0.41942465,0.38615574,0.43966357,0.35580905,0.39019901,0.44769754,0.38747783,0.47028406,0.49009323,0.44770823,0.50550119,0.53621141,0.44258782,0.46719341,0.47904093,0.4662843,0.52655456,0.51924809,0.47246348,0.47370895,0.53361556,0.47544683,0.52453322
1.0,1.59305993691,2.18344657196,2.60117733628,2.95815899582,3.15062388592,3.38277511962,3.38601532567,3.57793522267,3.35071090047,3.63683127572,3.19620253165,3.94972067039,3.59979633401,3.13664596273,3.62564102564,2.98816568047,2.86699107867,3.13664596273,2.77908805031,2.6204595997,3.17324955117,3.00595238095,2.93360995851,3.0136402387,2.6679245283,2.70466717674,2.97308662742,2.96560402685,2.63216679077,2.95568561873,2.67803030303
1.0,1.59304899989,2.1828707842,2.60164824923,2.95756182754,3.15084533265,3.38395578041,3.38544270659,3.57842536138,3.34930672291,3.63786331391,3.19512894825,3.94813397804,3.60016751452,3.13779209062,3.6254507774,2.98709209919,2.8663562645,3.13771716906,2.77898811672,2.6198282502,3.17401820954,3.00685277217,2.93248804439,3.01271520401,2.66787510111,2.70541544024,2.97331298495,2.96549558542,2.6325727833,2.95465593913,2.67815601841
