1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
output_1,output_2,output_3,output_4,output_5,output_6,output_7,output_8,output_9,output_10,output_11,output_12,output_13,output_14,output_15,output_16,output_17,output_18,output_19,output_20,output_22,output_21,output_23,output_24,output_26,output_25,output_27,output_28,output_30,output_29,output_31,output_32,output_33,output_34,output_35,output_36,output_37,output_38,output_39,output_40,benchmark.cvs,output_41,output_42,output_44,output_43,output_45,output_46,output_48,output_47,output_49,output_50,output_51,output_52,output_53,output_54,output_55,output_57,output_56,output_58,output_59,output_60,output_61,output_63,output_62,output_64
42.11,28.04,19.47,17.89,12.78,11.9,11.01,10.95,10.47,10.98,10.04,11.37,10.21,10.61,11.89,10.56,12.31,13.47,12.55,12.7,13.37,11.21,12.44,12.5,11.19,13.85,13.74,11.72,12.04,13.76,12.88,12.49,91.4,94.64,96.65,99.12,100.81,36.5,36.23,36.16,36.1,36.48,36.32,36.28,36.32,36.2,36.33,36.4,36.98,36.38,36.32,36.37,36.37,36.34,36.3,36.43,36.35,36.37,36.42,36.35,36.28,36.32,36.34,36.34,The file was not found
1.6735287,1.114094,0.77384108,0.71087895,0.50769464,0.4730426,0.43767652,0.43519977,0.41593213,0.43649464,0.39888436,0.45182022,0.40587967,0.42154141,0.47264549,0.41977953,0.48903112,0.53519202,0.49859549,0.50452794,0.53142573,0.44563094,0.49436838,0.49680484,0.4446125,0.5504812,0.54609839,0.46570088,0.47859128,0.54681231,0.51164441,0.49624674,3.6320429,3.7608189,3.8406692,3.9389663,4.0061432,1.4506334,1.439575,1.4370932,1.4344672,1.4497703,1.4432775,1.4419097,1.4431787,1.4384169,1.4439066,1.4464551,1.46938,1.4458896,1.4432061,1.44514,1.4454279,1.4442525,1.4423603,1.4475134,1.4443604,1.4455155,1.4472945,1.4446621,1.4417792,1.4432337,1.4441146,1.4442883,The file was not found
1.0,1.5017831669,2.16281458654,2.35382895472,3.29499217527,3.53865546218,3.82470481381,3.84566210046,4.02196752627,3.83515482696,4.19422310757,3.70360598065,4.12438785504,3.96889726673,3.54163162321,3.98768939394,3.42079610073,3.12620638456,3.35537848606,3.3157480315,3.14958863126,3.75646743979,3.38504823151,3.3688,3.76318141197,3.040433213,3.06477438137,3.59300341297,3.49750830565,3.06031976744,3.26940993789,3.37149719776,0.460722100656,0.444949281488,0.435695809622,0.4248385795,0.417716496379,1.15369863014,1.16229643941,1.16454646018,1.16648199446,1.15433114035,1.15941629956,1.16069459757,1.15941629956,1.16325966851,1.15909716488,1.15686813187,1.1387236344,1.15750412314,1.15941629956,1.15782238108,1.15782238108,1.15877820583,1.16005509642,1.1559154543,1.15845942228,1.15782238108,1.1562328391,1.15845942228,1.16069459757,1.15941629956,1.15877820583,1.15877820583,
1.0,1.50214317643,2.16262581976,2.35416831515,3.29632926595,3.5377970187,3.82366570635,3.84542643485,4.02356196911,3.83401890113,4.19552348455,3.70397035352,4.12321390722,3.97002206735,3.5407694253,3.98668486765,3.42213129504,3.12696870929,3.35648583584,3.31701887511,3.14912998285,3.75541406528,3.38518555738,3.36858372797,3.76401630633,3.04011962625,3.06451864837,3.59356997565,3.49678059324,3.06051760247,3.27088240835,3.37237217921,0.460767878045,0.444990504595,0.435738829056,0.424864944897,0.417740608973,1.15365377634,1.16251581196,1.16452342826,1.16665525709,1.15434058761,1.15953356163,1.16063349876,1.15961294329,1.16345177813,1.15902836098,1.15698627631,1.13893526521,1.15743878371,1.15959092745,1.15803915192,1.15780849394,1.15875077246,1.16027091151,1.1561403853,1.15866420874,1.15773832934,1.1563152489,1.1584222359,1.16073855137,1.15956875176,1.15886142277,1.15872205016,
