1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
output_1,output_2,output_3,output_4,output_5,output_6,output_7,output_8,output_9,output_10,output_11,output_12,output_13,output_14,output_15,output_16,output_17,output_18,output_19,output_20,output_21,output_22,output_23,output_24,output_25,output_26,output_27,output_28,output_29,output_30,output_31,output_32
36.19,22.63,16.59,13.72,12.01,10.89,10.41,9.75,8.52,8.92,9.01,8.28,8.26,9.76,8.27,8.71,11.63,9.39,9.32,8.94,9.01,11.46,9.21,9.46,11.76,11.46,9.91,8.81,9.18,9.5,9.38,9.38
1.4382371,0.89923506,0.65933874,0.54516814,0.47729602,0.43261079,0.4135794,0.38728322,0.33839938,0.3542986,0.35805353,0.32898418,0.3281867,0.38798681,0.32846916,0.34606307,0.4621154,0.37311834,0.37046916,0.35528787,0.35821809,0.45538368,0.36595959,0.37576907,0.46713861,0.45526935,0.39396483,0.3502618,0.36496821,0.37771666,0.3725699,0.37261218
1.0,1.59920459567,2.18143459916,2.63775510204,3.01332223147,3.32323232323,3.47646493756,3.71179487179,4.24765258216,4.05717488789,4.0166481687,4.37077294686,4.3813559322,3.70799180328,4.37605804111,4.15499425947,3.11177987962,3.8541001065,3.8830472103,4.048098434,4.0166481687,3.15794066318,3.92942453855,3.82558139535,3.07738095238,3.15794066318,3.65186680121,4.10783200908,3.94226579521,3.80947368421,3.85820895522,3.85820895522
1.0,1.59940060611,2.18133261819,2.63815324938,3.01330210128,3.32455207601,3.47753563161,3.71365715251,4.25011742043,4.05939255758,4.01682145125,4.37175155352,4.38237472756,3.70692266575,4.37860619852,4.15599705568,3.11228991719,3.85464059472,3.88220466179,4.04808951119,4.01497618392,3.15829741637,3.9300434783,3.82744939598,3.07882300716,3.15909054717,3.65067384314,4.10617743642,3.94071883685,3.80771422685,3.86031480267,3.8598767759
