1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"-march=native
","-xHost
","-unroll
","-ipo
","-march=native -xHost
","-march=native -unroll
","-march=native -ipo
","-xHost -unroll
","-xHost -ipo
","-unroll -ipo
","-march=native -xHost -unroll
","-march=native -xHost -ipo
","-march=native -unroll -ipo
","-xHost -unroll -ipo
","-march=native -xHost -unroll -ipo
"
33.04,32.96,39.08,41.44,33.01,33.24,35.78,32.95,36.12,41.68,33.05,36.29,35.83,35.98,35.81
1.3131484,1.3099471,1.553178,1.6466832,1.3116923,1.3209994,1.4219967,1.3095349,1.4354288,1.6563921,1.3133344,1.4421528,1.4237209,1.4296844,1.4232179
1.17978208232,1.18264563107,0.997441146366,0.940637065637,1.18085428658,1.17268351384,1.08943543879,1.18300455235,1.07918050941,0.935220729367,1.17942511346,1.07412510333,1.0879151549,1.08337965536,1.08852275901
1.17951154645,1.18239408294,0.997228714288,0.940602114602,1.18082091356,1.17250144095,1.08922453899,1.18276626304,1.07903206345,0.935088799325,1.17934449901,1.07400110446,1.08790543146,1.08336756,1.08828992384
